country,cases,new_cases,deaths,new_deaths,percent_deaths,serious_and_critical,recovered,latitude,longitude
Afghanistan,42,0,1,0,0.0238,,1,33.7680065,66.2385139
Albania,146,0,4,0,0.0274,4,17,41.000028,19.9999619
Algeria,264,0,19,0,0.072,,10,28.0000272,2.9999825
Andorra,188,0,0,0,0.0,3,2,42.5407167,1.5732033
Angola,3,0,0,0,0.0,,,-11.8775768,17.5691241
Antigua and Barbuda,3,0,0,0,0.0,0,0,17.2234721,-61.9554608
Argentina,502,0,8,0,0.0159,,63,-34.9964963,-64.9672817
Armenia,266,0,0,0,0.0,0,2,40.7696272,44.6736646
Aruba,17,0,0,0,0.0,,1,12.5013629,-69.9618475
Australia,2554,190,8,0,0.0031,,119,-24.7761086,134.755
Austria,5888,328,34,3,0.0058,16,9,47.2000338,13.199959
Azerbaijan,87,0,1,0,0.0115,,10,40.3936294,47.7872508
Bahamas,4,0,0,0,0.0,0,0,24.7736546,-78.0000547
Bahrain,419,0,4,0,0.0095,3,190,26.1551249,50.5344606
Bangladesh,39,0,5,0,0.1282,,5,24.4768783,90.2932426
Barbados,18,0,0,0,0.0,,,13.1500331,-59.5250305
Belarus,86,0,0,0,0.0,,22,53.4250605,27.6971358
Belgium,4937,0,178,0,0.0361,381,410,50.6402809,4.6667145
Benin,6,0,0,0,0.0,,,9.5293472,2.2584408
Bhutan,2,0,0,0,0.0,,,27.549511,90.5119273
Bolivia,32,0,0,0,0.0,,,-17.0568696,-64.9912286
Bosnia,168,0,3,0,0.0179,,2,44.3053476,17.5961467
Brazil,2555,0,59,0,0.0231,,1,-10.3333333,-53.2
Brunei,109,0,0,0,0.0,,2,4.4137155,114.5653908
Bulgaria,220,0,3,0,0.0136,2,3,42.6073975,25.4856617
Burkina Faso,114,0,4,0,0.0351,,7,12.0753083,-1.6880314
Cambodia,93,0,0,0,0.0,,2,13.5066394,104.869423
Cameroon,70,0,1,0,0.0143,,2,4.6125522,13.1535811
Canada,3409,0,35,0,0.0103,23,197,61.0666922,-107.9917071
Cape Verde,4,0,0,0,0.0,,,16.0000552,-24.0083947
Cayman Islands,6,0,1,0,0.1667,,,19.5417212,-80.5667132
Central African Republic,4,0,0,0,0.0,,,7.0323598,19.9981227
Chad,4,0,0,0,0.0,,,15.6134137,19.0156172
Chile,1142,0,3,0,0.0026,,22,-31.7613365,-71.3187697
China,81285,114,3287,10,0.0404,1235,74051,35.000074,104.999927
Colombia,470,92,4,1,0.0085,,8,2.8894434,-73.783892
Congo Republic,6,0,0,0,0.0,,,8.4407908,-80.4236988
Costa Rica,177,0,2,0,0.0113,,2,10.2735633,-84.0739102
Croatia,481,39,1,0,0.0021,6,22,45.5643442,17.0118954
Cuba,48,0,1,0,0.0208,3,1,23.0131338,-80.8328748
Curaçao,6,0,1,0,0.1667,,,12.1845,-68.9640875031406
Cyprus,124,0,3,0,0.0242,7,1,34.9823018,33.1451285
Czech Republic,1775,278,6,1,0.0034,2,10,49.8167003,15.4749544
DR Congo,48,0,3,0,0.0625,,1,-4.0324901,22.457478747924338
Denmark,1713,0,32,0,0.0187,46,3,55.670249,10.3333283
Diamond Princess,712,0,10,0,0.014,9,597,53.8953584,27.5554078
Djibouti,11,0,0,0,0.0,,,11.8145966,42.8453061
Dominican Republic,392,0,10,0,0.0255,,2,19.0974031,-70.3028026
Ecuador,1211,0,29,0,0.0239,41,3,-1.3397668,-79.3666965
Egypt,402,0,20,0,0.0498,,80,26.2540493,29.2675469
El Salvador,9,0,0,0,0.0,,,13.8000382,-88.9140683
Equatorial Guinea,9,0,0,0,0.0,,,1.613172,10.5170357
Estonia,404,0,0,0,0.0,,8,58.7523778,25.3319078
Eswatini,5,0,0,0,0.0,0,0,-26.5624806,31.3991317
Ethiopia,12,0,0,0,0.0,,,10.2116702,38.6521203
Fiji,5,0,0,0,0.0,,0,-18.1239696,179.0122737
Finland,880,88,3,0,0.0034,22,10,63.2467777,25.9209164
France,25233,0,1331,0,0.0527,1746,1587,46.603354,1.8883335
French Polynesia,25,0,0,0,0.0,,,-16.03442485,-146.0490931059517
Gabon,6,0,1,0,0.1667,,,-0.8999695,11.6899699
Georgia,75,0,0,0,0.0,1,10,32.3293809,-83.1137366
Germany,41255,3932,224,18,0.0054,,3133,51.0834196,10.4234469
Ghana,68,15,3,1,0.0441,,,8.0300284,-1.0800271
Gibraltar,26,0,0,0,0.0,,13,36.10674695,-5.335277183483561
Greece,821,0,22,0,0.0268,53,19,38.9953683,21.9877132
Greenland,5,0,0,0,0.0,,2,77.6192349,-42.8125967
Guatemala,23,0,1,0,0.0435,,4,15.6356088,-89.8988087
Guernsey,23,0,0,0,0.0,,,49.579520200000005,-2.5290434448309886
Guinea,4,0,0,0,0.0,,1,10.7226226,-10.7083587
Guyana,5,0,1,0,0.2,,,4.8417097,-58.6416891
Haiti,7,0,0,0,0.0,,,19.1399952,-72.3570972
